Code Postal;Prix
1;2518
2;1182
3;1146
4;1799
5;2427
6;4668
7;1544
8;996
9;1271
10;1510
11;1780
12;1432
13;3284
14;2293
15;1278
16;1460
17;3377
18;1214
19;1259
21;2153
22;2019
23;821
24;1467
25;1827
26;1764
27;1711
28;1838
29;2007
30;2088
31;3316
32;1307
33;3986
34;2985
35;3471
36;961
37;2533
38;2517
39;1435
40;2975
41;1378
42;1418
43;1299
44;3719
45;2048
46;1326
47;1331
48;1372
49;2560
50;1857
51;2221
52;946
53;1595
54;1837
55;986
56;2833
57;1782
58;932
59;2565
60;2188
61;1218
62;2238
63;1972
64;3716
65;1668
66;2030
67;3001
68;1777
69;4156
70;1030
71;1226
72;1532
73;4165
74;4416
75;10156
76;2057
77;3282
78;4858
79;1426
80;2174
81;1580
82;1538
83;3742
84;2081
85;3092
86;1912
87;1590
88;1251
89;1268
90;1344
91;3199
92;7284
93;4441
94;5541
95;3490
2A;3583
2B;2834